sID,voxel,A1_GABA_Cr,A2_GABA_Cr,Mean_GABA_Cr,A1_FE,A2_FE,Mean_FE
s09,L_M1,0.122999508,0.103332711,0.11316611,3.6661766,6.02710767,4.846642135
s09,L_thal,,,,,,
s09,occ,0.110392952,0.098018183,0.104205567,2.861759452,4.184032586,3.522896019
s09,R_M1,0.113744476,0.118671985,0.116208231,4.764987604,4.222443434,4.493715519
s09,R_thal,,,,,,
s20,L_M1,0.09619077,0.116263046,0.106226908,3.85879662,3.153516196,3.506156408
s20,L_thal,0.092778848,0.129626445,0.111202647,7.57388321,13.0146745,10.29427885
s20,occ,0.083932776,0.084689117,0.084310947,2.934123688,3.232516896,3.083320292
s20,R_M1,0.121224582,0.125147642,0.123186112,3.501356258,4.47404555,3.987700904
s20,R_thal,0.079593615,0.09926352,0.089428567,7.422911119,5.925921503,6.674416311
s209,L_M1,0.111158392,0.099269137,0.105213765,3.697526327,3.984464456,3.840995392
s209,L_thal,0.114535877,0.116747854,0.115641865,3.710170452,4.706529485,4.208349969
s209,occ,0.104864146,0.09905449,0.101959318,3.169925816,2.542899998,2.856412907
s209,R_M1,0.106201005,0.102506505,0.104353755,3.803951665,4.961491605,4.382721635
s209,R_thal,0.1129296,0.124390246,0.118659923,6.425226056,4.45710796,5.441167008
s261,L_M1,0.116779274,0.113713065,0.11524617,5.031574345,5.875917189,5.453745767
s261,L_thal,0.130683497,0.074795815,0.102739656,5.702704005,17.72737039,11.7150372
s261,R_M1,0.108451392,0.120499355,0.114475373,4.601092419,5.112384575,4.856738497
s261,R_thal,0.103932337,0.103932337,0.103932337,9.712003959,8.336441537,9.024222748
s262,L_M1,0.123665585,0.104533565,0.114099575,3.60653548,4.051439239,3.828987359
s262,L_thal,0.119409942,0.096577435,0.107993689,5.779152568,5.274703714,5.526928141
s262,occ,0.115382042,0.114069384,0.114725713,3.002398327,2.428034108,2.715216217
s262,R_M1,0.116652177,0.123817432,0.120234805,5.16723237,4.088493145,4.627862757
s262,R_thal,0.095869618,0.104304215,0.100086917,11.02538811,6.907043029,8.966215567
s263,R_thal,0.111936679,0.124851237,0.118393958,5.019050213,4.072551472,4.545800842
s263,L_thal,0.111368507,0.087861427,0.099614967,3.099312788,6.076049373,4.58768108
s263,L_M1,0.101195754,0.123313751,0.112254753,4.960864173,4.413761618,4.687312896
s263,R_M1,0.117001755,0.111482985,0.11424237,4.313739715,4.629446763,4.471593239
s263,occ,0.104041216,0.108750042,0.106395629,3.039716391,3.531199546,3.285457969
s276,R_thal,,,,,,
s276,L_thal,,,,,,
s276,L_M1,0.110206298,0.109449839,0.109828068,3.837980455,4.004231733,3.921106094
s276,R_M1,0.111032565,0.111608001,0.111320283,4.067166281,3.311188972,3.689177627
s276,occ,0.114369652,0.112245336,0.113307494,2.79694411,2.801066292,2.799005201
s278,R_thal,,,,,,
s278,L_thal,0.108531015,0.129035909,0.118783462,5.587432725,7.361488105,6.474460415
s278,L_M1,0.112787897,0.121599164,0.117193531,4.686724571,4.089447272,4.388085921
s278,R_M1,0.10730052,0.108019085,0.107659802,4.902948446,4.061493687,4.482221066
s278,occ,0.102168327,0.099717773,0.10094305,2.844415752,3.524867799,3.184641775
s279,R_thal,0.114607019,0.103064152,0.108835585,4.09218462,6.446440533,5.269312577
s279,L_thal,0.116798701,0.116798701,0.116798701,7.620346914,11.8976137,9.758980304
s279,L_M1,0.102306104,0.10134401,0.101825057,4.02168434,4.444703972,4.233194156
s279,R_M1,0.106206364,0.106861824,0.106534094,4.50734624,4.666207737,4.586776988
s279,occ,0.104036713,0.102952952,0.103494832,5.29286403,3.87665959,4.58476181
s282,R_thal,,,,,,
s282,L_thal,0.088459895,0.087939485,0.08819969,7.235572279,6.324967734,6.780270007
s282,L_M1,0.119154766,0.115975588,0.117565177,3.958090156,4.026474897,3.992282526
s282,R_M1,0.112802986,0.114446636,0.113624811,3.647665131,4.244075444,3.945870288
s282,occ,0.110203854,0.108920472,0.109562163,3.407004483,2.949471179,3.178237831