,Bigrams,Frequency
0,th,22288309
1,be,3798740
2,nr,54341
3,an,12315713
4,ou,7425307
5,dy,360103
6,co,3609272
7,ir,2142678
8,nd,9414961
9,ud,458716
10,he,21484684
11,nk,445067
12,re,10687711
13,ee,2839722
14,it,6637233
15,rm,905131
16,ti,5135552
17,in,13597302
18,el,3235254
19,le,5038239
20,oo,1933683
21,ul,2181271
22,me,4724108
23,ab,1203849
24,up,968744
25,ru,705492
26,kk,1820
27,hi,6198006
28,ch,3267507
29,ja,40073
30,qi,36
31,zi,54565
32,ol,1804856
33,aq,4924
34,py,149099
35,oe,270012
36,lu,568081
37,ll,4235407
38,uc,891233
39,eo,305120
40,fa,1043958
41,ao,25487
42,pp,805170
43,ly,2589130
44,wo,1723496
45,bo,1140702
46,vo,368238
47,va,560130
48,ib,493267
49,dt,11191
50,em,2039661
51,ha,6967591
52,ut,3257233
53,ck,925655
54,dd,306083
55,od,1013147
56,on,8830487
57,yk,4767
58,bu,1183063
59,ka,60568
60,dk,5347
61,ky,49764
62,bj,105433
63,pu,514720
64,ed,7805967
65,am,1610395
66,kr,5683
67,er,12934901
68,mp,1042198
69,ld,2012500
70,dr,567936
71,uz,19836
72,ze,210896