with_turbo,without_turbo
s009_02162024,s175_08032022
s020_02082024,s178_08302022
s176_10262023,s180_10102022
s207_09212023,s181_10132022
s209_09202023,s182_10192022
s217_11092023,s183_10272022
s240_11162023,s189_11222022
s254_11022023,s190_11222022
s261_12122023,s198_02202023
s262_01232024,s210_03102023
s263_01312024,s212_10032023
s267_02122024,s219_04132023
s276_02212024,s224_04212023
s278_02232024,
s279_02232024,
s282_02292024,
s283_02292024,
s286_03082024,
s302_05282024,
s304_07102024,
s305_07112024,
s306_07122024,
s309_09232024,
s311_10152024,
s313_11192024,
s336_01232025,
s344_02212025,
s345_02212025,
s347_03072025,
s348_05062025,
s349_05092025,
s350_05142025,
s351_05162025,
s352_05272025,